;No.overall;No. inseason;Title;Directed by;Written by;Original air date;Prod.code;U.S. viewers(millions)
13;152;14;"""Brothers & Sisters""";Marcus Stokes;Rebecca Bellotto & Jeane Wong;March 4, 2019;T27.13664;0.89[161]
14;153;15;"""Training Day""";Ruba Nadda;Emilio Ortega Aldrich & Rebecca Rosenberg;March 11, 2019;T27.13665;1.02[162]
15;154;16;"""Star City 2040""";James Bamford;Beth Schwartz & Oscar Balderrama;March 18, 2019;T27.13666;1.00[163]
16;155;17;"""Inheritance""";Patia Prouty;Sarah Tarkoff & Elizabeth Kim;March 25, 2019;T27.13667;1.01[164]
17;156;18;"""Lost Canary""";Kristin Windell;Jill Blankenship & Elisa Delson;April 15, 2019;T27.13668;0.71[165]
18;157;19;"""Spartan""";Avi Youabian;Benjamin Raab & Deric A. Hughes;April 22, 2019;T27.13669;0.71[166]
19;158;20;"""Confessions""";Tara Miele;Onalee Hunter Hughes & Emilio Ortega Aldrich;April 29, 2019;T27.13670;0.64[167]
20;159;21;"""Living Proof""";Gordon Verheul;Oscar Balderrama & Sarah Tarkoff;May 6, 2019;T27.13671;0.63[168]
21;160;22;"""You Have Saved This City""";James Bamford;Beth Schwartz & Rebecca Bellotto;May 13, 2019;T27.13672;0.95[169]
0;161;1;"""Starling City""";James Bamford;Beth Schwartz & Marc Guggenheim;October 15, 2019;T27.13951;0.84[170]
1;162;2;"""Welcome to Hong Kong""";Antonio Negret;Jill Blankenship & Sarah Tarkoff;October 22, 2019;T27.13952;0.77[171]
2;163;3;"""Leap of Faith""";Katie Cassidy;Emilio Ortega Aldrich & Elizabeth Kim;October 29, 2019;T27.13953;0.76[172]
3;164;4;"""Present Tense""";Kristin Windell;Oscar Balderrama & Jeane Wong;November 5, 2019;T27.13954;0.62[173]
4;165;5;"""Prochnost""";Laura Belsey;Benjamin Raab & Deric A. Hughes;November 19, 2019;T27.13955;0.74[174]
5;166;6;"""Reset""";David Ramsey;Onalee Hunter Hughes & Maya Houston;November 26, 2019;T27.13956;0.79[175]
6;167;7;"""Purgatory""";James Bamford;Rebecca Bellotto & Rebecca Rosenberg;December 3, 2019;T27.13957;0.83[176]
7;168;8;"""Crisis on Infinite Earths: Part Four""";Glen Winter;Marv Wolfman & Marc Guggenheim;January 14, 2020;T27.13958;1.41[177]
8;169;9;"""Green Arrow & The Canaries""""Livin' in the Future""[178]";Tara Miele;Beth Schwartz & Marc Guggenheim & Jill Blankenship & Oscar Balderrama;January 21, 2020;T27.13959;0.89[179]
9;170;10;"""Fadeout""";James Bamford;Marc Guggenheim & Beth Schwartz;January 28, 2020;T27.13960;0.73[180]
